Exploring Age Groups in the 2020 Census Data Visualization Select Measures for States and State Equivalents in the United States and Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2010 Census Summary File 1 (SF1), 
2020 Census Demographic and Housing Characteristics File (DHC) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, nonsampling error, subject definitions, and guidance on using the data is available at: https://www2.census.gov/programs-surveys/decennial/2020/technical-documentation/complete-tech-docs/demographic-and-housing-characteristics-file-and-demographic-profile/2020census-demographic-and-housing-characteristics-file-and-demographic-profile-techdoc.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All ages,,,,,,,Under 5 years,,,,,,,,5 to 17 years,,,,,,,,18 to 24 years,,,,,,,,25 to 34 years,,,,,,,,35 to 44 years,,,,,,,,45 to 64 years,,,,,,,,65 to 84 years,,,,,,,,85 to 99 years,,,,,,,,100 years and over,,,,,,,
State,Population,,"Change, 2010 to 2020",,Female,,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index
,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,
Alabama,"5,024,279","4,779,736","244,543",5.1,"2,597,435",51.7,53.1,"286,529","304,957","-18,428",-6.0,"140,011",48.9,5.7,61.7,"820,584","827,502","-6,918",-0.8,"401,598",48.9,16.3,60.6,"491,490","479,175","12,315",2.6,"250,124",50.9,9.8,58.1,"625,360","608,922","16,438",2.7,"320,693",51.3,12.4,56.5,"608,965","619,501","-10,536",-1.7,"314,272",51.6,12.1,55.6,"1,306,628","1,281,887","24,741",1.9,"675,496",51.7,26.0,48.8,"793,978","582,108","211,870",36.4,"435,337",54.8,15.8,39.4,"89,772","74,925","14,847",19.8,"59,111",65.8,1.79,34.3,973,759,214,28.2,793,81.5,0.02,52.0
Alaska,"733,391","710,231","23,160",3.3,"351,974",48.0,62.8,"48,104","53,996","-5,892",-10.9,"23,243",48.3,6.6,72.6,"131,284","133,382","-2,098",-1.6,"63,551",48.4,17.9,71.9,"68,003","74,881","-6,878",-9.2,"30,317",44.6,9.3,70.7,"112,039","103,125","8,914",8.6,"53,400",47.7,15.3,65.0,"98,386","92,974","5,412",5.8,"46,829",47.6,13.4,60.3,"180,390","196,935","-16,545",-8.4,"87,029",48.2,24.6,55.1,"88,666","50,227","38,439",76.5,"43,663",49.2,12.1,45.2,"6,425","4,671","1,754",37.6,"3,885",60.5,0.88,45.1,94,40,54,135.0,57,60.6,0.01,51.1
Arizona,"7,151,502","6,392,017","759,485",11.9,"3,614,159",50.5,61.5,"392,370","455,715","-63,345",-13.9,"192,818",49.1,5.5,66.6,"1,217,156","1,173,299","43,857",3.7,"595,198",48.9,17.0,66.1,"675,623","633,211","42,412",6.7,"330,400",48.9,9.4,66.1,"936,487","856,693","79,794",9.3,"457,729",48.9,13.1,65.8,"864,601","822,494","42,107",5.1,"430,176",49.8,12.1,64.3,"1,726,093","1,568,774","157,319",10.0,"886,569",51.4,24.1,56.9,"1,204,548","778,431","426,117",54.7,"640,971",53.2,16.8,37.9,"133,244","102,568","30,676",29.9,"79,271",59.5,1.86,32.9,"1,380",832,548,65.9,"1,027",74.4,0.02,38.7
Arkansas,"3,011,524","2,915,918","95,606",3.3,"1,535,026",51.0,49.8,"179,575","197,689","-18,114",-9.2,"87,758",48.9,6.0,61.6,"519,676","513,786","5,890",1.1,"253,222",48.7,17.3,59.9,"281,979","284,105","-2,126",-0.7,"140,658",49.9,9.4,57.0,"379,202","375,892","3,310",0.9,"190,434",50.2,12.6,54.5,"371,244","366,208","5,036",1.4,"187,304",50.5,12.3,52.4,"750,981","758,257","-7,276",-1.0,"383,966",51.1,24.9,43.9,"473,933","368,579","105,354",28.6,"256,331",54.1,15.7,30.3,"54,340","50,822","3,518",6.9,"34,895",64.2,1.80,22.8,594,580,14,2.4,458,77.1,0.02,42.5
California,"39,538,223","37,253,956","2,284,267",6.1,"19,989,220",50.6,69.7,"2,137,439","2,531,333","-393,894",-15.6,"1,046,636",49.0,5.4,66.7,"6,573,679","6,763,707","-190,028",-2.8,"3,209,003",48.8,16.6,65.4,"3,809,055","3,922,951","-113,896",-2.9,"1,854,119",48.7,9.6,67.1,"5,826,832","5,317,877","508,955",9.6,"2,861,656",49.1,14.7,69.7,"5,326,009","5,182,710","143,299",2.8,"2,670,059",50.1,13.5,69.9,"9,848,045","9,288,864","559,181",6.0,"5,027,679",51.1,24.9,69.8,"5,292,586","3,645,546","1,647,040",45.2,"2,867,789",54.2,13.4,63.3,"713,955","595,047","118,908",20.0,"444,288",62.2,1.81,58.9,"10,623","5,921","4,702",79.4,"7,991",75.2,0.03,61.2
Colorado,"5,773,714","5,029,196","744,518",14.8,"2,873,963",49.8,52.3,"314,580","343,960","-29,380",-8.5,"154,249",49.0,5.4,62.1,"949,558","881,649","67,909",7.7,"462,168",48.7,16.4,61.4,"533,761","487,698","46,063",9.4,"257,387",48.2,9.2,59.4,"895,832","726,278","169,554",23.3,"431,755",48.2,15.5,54.3,"799,022","699,644","99,378",14.2,"390,038",48.8,13.8,53.1,"1,412,266","1,340,342","71,924",5.4,"710,265",50.3,24.5,46.1,"781,925","480,012","301,913",62.9,"413,739",52.9,13.5,32.6,"85,808","69,020","16,788",24.3,"53,627",62.5,1.49,29.6,962,593,369,62.2,735,76.4,0.02,36.1
Connecticut,"3,605,944","3,574,097","31,847",0.9,"1,856,091",51.5,55.7,"176,831","202,106","-25,275",-12.5,"86,888",49.1,4.9,67.8,"559,886","614,909","-55,023",-8.9,"273,550",48.9,15.5,66.2,"334,929","326,659","8,270",2.5,"165,468",49.4,9.3,62.8,"454,315","420,377","33,938",8.1,"227,797",50.1,12.6,62.5,"436,812","484,438","-47,626",-9.8,"224,270",51.3,12.1,62.0,"996,106","1,019,049","-22,943",-2.3,"516,152",51.8,27.6,48.3,"559,338","421,661","137,677",32.7,"304,612",54.5,15.5,32.7,"86,415","83,968","2,447",2.9,"56,286",65.1,2.40,22.4,"1,312",930,382,41.1,"1,068",81.4,0.04,26.1
Delaware,"989,948","897,934","92,014",10.2,"513,229",51.8,59.6,"51,230","55,886","-4,656",-8.3,"25,071",48.9,5.2,71.5,"155,175","149,879","5,296",3.5,"76,437",49.3,15.7,70.2,"91,203","90,905",298,0.3,"45,408",49.8,9.2,66.5,"122,665","111,417","11,248",10.1,"62,499",51.0,12.4,65.1,"116,070","116,087",-17,0.0,"59,920",51.6,11.7,64.3,"259,028","244,483","14,545",5.9,"136,426",52.7,26.2,53.3,"175,145","113,533","61,612",54.3,"95,257",54.4,17.7,37.6,"19,235","15,598","3,637",23.3,"12,061",62.7,1.94,31.0,197,146,51,34.9,150,76.1,0.02,45.7
District of Columbia,"689,545","601,723","87,822",14.6,"366,768",53.2,67.2,"37,068","32,613","4,455",13.7,"18,160",49.0,5.4,69.3,"77,316","68,202","9,114",13.4,"38,074",49.2,11.2,62.8,"83,106","87,015","-3,909",-4.5,"47,937",57.7,12.1,69.8,"162,577","124,745","37,832",30.3,"87,580",53.9,23.6,65.7,"105,015","80,659","24,356",30.2,"53,994",51.4,15.2,68.2,"137,687","139,680","-1,993",-1.4,"70,597",51.3,20.0,62.9,"76,291","58,494","17,797",30.4,"43,552",57.1,11.1,58.2,"10,255","10,159",96,0.9,"6,676",65.1,1.49,54.4,230,156,74,47.4,198,86.1,0.03,57.9
