State,City,Address,Zip,URL,Phone
AL,Birmingham,205 Summit BlvdSuite 100,35243,https://locations.traderjoes.com/al/birmingham/737/,205-969-7801
AL,Huntsville,1100 Mid City Dr NW,35806,https://locations.traderjoes.com/al/huntsville/785/,256-890-7156
AR,Little Rock,11500 Financial Centre Pky,72211,https://locations.traderjoes.com/ar/little-rock/756/,501-954-7659
AZ,Gilbert,1779 E. Williams Field Rd.,85295,https://locations.traderjoes.com/az/gilbert/285/,480-857-9878
AZ,Glendale,7720 West Bell Rd,85308,https://locations.traderjoes.com/az/glendale/85/,623-776-7414
AZ,Mesa,2050 E Baseline Rd,85204,https://locations.traderjoes.com/az/mesa/89/,480-632-0951
AZ,Oro Valley,7912 N Oracle,85704,https://locations.traderjoes.com/az/oro-valley/96/,520-797-4207
AZ,Phoenix,4025 E Chandler Blvd,85048,https://locations.traderjoes.com/az/phoenix/177/,480-759-2295
AZ,Phoenix,4726 East Shea Blvd,85028,https://locations.traderjoes.com/az/phoenix/282/,602-485-7788
AZ,Phoenix,4821 N 20th St,85016,https://locations.traderjoes.com/az/phoenix/90/,602-912-9022
AZ,Prescott,252 N Lee Blvd,86303,https://locations.traderjoes.com/az/prescott/283/,928-443-9075
AZ,Queen Creek,21186 S. Ellsworth Loop Rd,85142,https://locations.traderjoes.com/az/queen-creek/286/,480-877-7213
AZ,Scottsdale,7555 E Frank Lloyd Wright,85260,https://locations.traderjoes.com/az/scottsdale/87/,480-367-8920
AZ,Scottsdale,6202 N Scottsdale Rd,85253,https://locations.traderjoes.com/az/scottsdale/94/,480-948-9886
AZ,Surprise,14095 W Grand Ave,85374,https://locations.traderjoes.com/az/surprise/92/,623-546-1640
AZ,Tempe,940 E. University Drive,85281,https://locations.traderjoes.com/az/tempe/91/,480-303-9974
AZ,Tempe,6460 S McClintock Dr,85283,https://locations.traderjoes.com/az/tempe/93/,480-838-4142
AZ,Tucson,1101 N Wilmot Rd,85712,https://locations.traderjoes.com/az/tucson/95/,520-733-1313
AZ,Tucson,4209 N Campbell Ave,85719,https://locations.traderjoes.com/az/tucson/191/,520-325-0069
AZ,Tucson,4766 E Grant Rd,85712,https://locations.traderjoes.com/az/tucson/88/,520-323-4500
CA,Agoura Hills,28941 Canwood St,91301,https://locations.traderjoes.com/ca/agoura-hills/247/,818-865-8217
CA,Alameda,2217 South Shore Center,94501,https://locations.traderjoes.com/ca/alameda/109/,510-769-5450
